-3.725305762,-1.742067553,-3.827251325,7,-12,235
-3.904500868,-2.273378643,-3.363541157,11.294117647058822,-17.17647059,230.58823529411765
-4.91974698,-2.751591942,-2.869332708,15.588235294117645,-22.35294118,226.1764705882353
-6.292731822,-3.080181541,-2.545392701,19.88235294117647,-27.52941176,221.76470588235293
-7.517919326,-3.231042731,-2.486954651,24.176470588235293,-32.70588235,217.35294117647058
-8.335960829,-3.219478986,-2.68500572,28.470588235294116,-37.88235294,212.94117647058823
-8.781288487,-3.085536271,-3.06985494,32.76470588235294,-43.05882353,208.52941176470588
-9.052756441,-2.867561343,-3.549333705,37.05882352941177,-48.23529412,204.11764705882354
-9.35605427,-2.591093212,-4.035796963,41.35294117647059,-53.41176471,199.70588235294116
-9.805180788,-2.267282313,-4.469084312,45.64705882352941,-58.58823529,195.2941176470588
-10.39886202,-1.891958521,-4.829012094,49.94117647058823,-63.76470588,190.88235294117646
-11.05591444,-1.449919047,-5.130522418,54.23529411764706,-68.94117647,186.47058823529412
-11.67643857,-0.927131673,-5.405516381,58.529411764705884,-74.11764706,182.05882352941177
-12.19125,-0.32280639,-5.683463854,62.82352941,-79.29411765,177.6470588235294
-12.57951882,0.3476935297250754,-5.979992738,67.11764705882354,-84.47058824,173.23529411764707
-12.85959123,1.0590245425701148,-6.294018651,71.41176470588235,-89.64705882,168.8235294117647
-13.06860945,1.7849060386419302,-6.609908855,75.70588235294117,-94.82352941,164.41176470588235
-13.24346567,2.5047050356864933,-6.902391001,80,-100,160
-12.88185985,2.9239752084016803,-7.37354714,70.58823529411765,-100,160
-11.96019857,2.8877251088619236,-8.198174246,61.17647058823529,-100,160
-10.77113105,2.380569496750832,-9.324619191,51.76470588235294,-100,160
-9.66931144,1.487442465126515,-10.50343263,42.35294117647059,-100,160
-8.863906324,0.33102930486202303,-11.44238977,32.94117647058823,-100,160
-8.357671022,-0.949867617,-11.96427414,23.529411764705877,-100,160
-8.029921991,-2.209285815,-12.05887494,14.117647058823536,-100,160
-7.731553888,-3.321583365,-11.84562179,4.705882352941174,-100,160
-7.338458443,-4.206994182,-11.49792738,-4.705882353,-100,160
-6.777876103,-4.83926003,-11.16456792,-14.11764706,-100,160
-6.03883962,-5.232726771,-10.92220369,-23.52941176,-100,160
-5.168072903,-5.419294167,-10.77409528,-32.94117647,-100,160
-4.249989427,-5.431935936,-10.68243777,-42.35294118,-100,160
-3.375005725,-5.299539882,-10.61052414,-51.76470588,-100,160
-2.607891789,-5.046824089,-10.55099286,-61.17647059,-100,160
-1.966591626,-4.694864139,-10.52560345,-70.58823529,-100,160
-1.417121398,-4.262425795,-10.5613618,-80,-100,160
-1.41961503,-4.036782655,-10.11723754,-74.5625,-94.5,164.6875
-1.99718228,-4.147094259,-9.155094586,-69.125,-89,169.375
-2.816357425,-4.526507628,-8.036239763,-63.6875,-83.5,174.0625
-3.478375899,-5.031925383,-7.117567457,-58.25,-78,178.75
-3.768410648,-5.565658164,-6.505446898,-52.8125,-72.5,183.4375
-3.703398354,-6.085978693,-6.098899117,-47.375,-67,188.125
-3.418081331,-6.56522364,-5.75428343,-41.9375,-61.5,192.8125
-3.053593287,-6.978089941,-5.377374136,-36.5,-56,197.5
-2.711759236,-7.311576211,-4.927195802,-31.0625,-50.5,202.1875
-2.446890587,-7.567401597,-4.395984161,-25.625,-45,206.875
-2.269550517,-7.753610194,-3.795941762,-20.1875,-39.5,211.5625
-2.157371402,-7.874998194,-3.151019958,-14.75,-34,216.25
-2.073249441,-7.929721159,-2.487887557,-9.3125,-28.5,220.9375
-1.986117774,-7.912817734,-1.827142565,-3.875,-23,225.625
-1.885380071,-7.822505316,-1.17894799,1.5625,-17.5,230.3125
